actual,detected,cpv,cpv_desc,object
obra,subministrament,45213315-4,,subministrament i instal·lació de 4 marquesines en les parades següents:¿Jardins.¿CEIP Sol Cunit.¿CEIP Els Cossetans.¿CAP-IES-CEIP-EB-Zona Esportiva.
servei,subministrament,92332000-7,,"Lloguer, instal·lació i desmuntatge de la zona de bany adaptada a persones grans i amb mobilitat reduïda a situar en zona de domini públic marítim terrestre  a la zona de bany de l'espigó 4 de la platja de Cunit - Llevant"
servei,subministrament,71240000-2,,"L'objecte de la present contractació és l'estudi global de l'equipament Casal Municipal pel que fa als possibles usos, així com definir les diferents actuacions d'adequació i millora que caldrà executar per fases. La prioritat de l'estudi es centrarà en la sala polivalent del Casal."
subministrament,servei,37420000-8,,"Serveis tècnics esportius, socorrisme, recepció i atenció al client, manteniment (ordinari-conductiu-preventiu-correctiu i normatiu), la neteja de la instal·lació, i el subministrament de la maquinària de Fitness en la modalitat d'arrendament del CEM els Joncs."
obra,servei,45212000-6,,El projecte està destinat a donar una nova parada a l'ascensor existent al Casal. Per a fer aquesta parada cal construir un nou sostre a la planta altell que connecti la nova sortida de l'ascensor amb la planta altell. Aquesta nova sortida es construirà entre quatre pilars existents al porxo del Casal al costat de l'entrada.
subministrament,obra,44811000-8,,"Contractació de les obres necessàries per tal d'executar, repintar la senyalització horitzontal existent dels vials de Cunit i la reposició de senyalització vertical contingudes a la Memòria Valorada aprovada per Decret 2020-2078 de 17 de juny de 2020"
subministrament,servei,44411000-4,,lloguer i neteja dels WC de temporada a situar a les platges de Cunit entre el 15 de juny i de setembre de 2019.
obra,servei,45255420-9,,"Contractació de la prestació del servei d'abalisament  per tal de garantir la seguretat de la zona de bany de les platges del terme municipal de Cunit: instal·lació, subministrament, manteniment preventiu i correctiu del material, desmuntatge, retirada, transport, neteja i hivernda en terra del tot el material."
subministrament,obra,39370000-6,,"Contracte menor per la contractació de l'execució dels treballs de la instal·lació d'una columna de càrrega d'aigua del pou del Rectoret, Cunit."
obra,subministrament,45316000-5,,Per tal de reparar les apagades i millorar la il·luminació de la zona és realitzaran obres de reparació de les instal·lacions de baixa tensió així com la instal·lació de lluminàries
subministrament,servei,34622200-5,,"Atorgament de llicència d'ús comú especial de domini públic per a l'explotació d'un servei de tren turístic dins del terme municipal de Cunit per a l'estiu 2019, d'acord amb l'itinerari econòmic-turístico-cultural que s'adjunta en el plec."
subministrament,servei,32341000-5,,"La majoria de micròfons de la Sala de Plens no funcionen, i es necessari canviar el cablejat, adequar el so a la sala i que el nou servei s'integri a la plataforma actual de sistema d'audioactes."
obra,servei,45200000-9,,"Es tracta del projecte de construcció parcial de la reproducció d'un búnquer antiaeri de la Guerra Civil Espanyola situat al carrer Francesc Macià, S/N de Cunit, davant del passeig marítim de la mateixa localitat."
subministrament,servei,32524000-2,,"Els equips d'electrònica de xarxa que actualment hi ha instal·lats als edificis connectats, objecte de la cessió de l'espai, no suporten les connexions de fibra òptica, per la qual cosa es necessària l'adquisició de nous equips que siguin compatibles amb aquesta tecnologia, juntament amb les actualitzacions necessàries del fabricant."
subministrament,servei,22120000-7,,Manteniment informatiu i creació de continguts audiovisuals del nou canal de comunicació 'Cunit Informa' de l'Ajuntament de Cunit
servei,subministrament,51300000-5,,"Contracte menor per la contractació d'un Pla de Comunicació Intern i Extern, a nivell comunicatiu intern de l'Ajuntament de Cunit"
servei,subministrament,90450000-6,,"Constitueix l'objecte del contracte a licitar, la contractació d'una empresa especialitzada en buidat de fosses sèptiques, perquè procedeix el buidat dels dipòsits d'aigües residuals dels WC de platja"
servei,subministrament,66114000-2,,adquisició vehicles en sistema renting Ford Kuga 9677MKN
servei,subministrament,66114000-2,,adquisició vehicles en sistema renting Ford Kuga 9678MKN
servei,subministrament,79110000-8,,representació i defensa de l’Ajuntament de Cunit en aquest procediment abreujat núm. 153/2022 plantejat davant el Jutjat Contenciós 1 de Tarragona
servei,subministrament,79110000-8,,representació i defensa de l’Ajuntament de Cunit en aquest procediment abreujat 241/2022/F plantejat davant el Jutjat Contenciós Administratiu nº 1 de Tarragona
servei,subministrament,79110000-8,,Representació i defensa de l’Ajuntament de Cunit en aquest recurs ordinari núm. 327/2023/E plantejat davant el Jutjat Contenciós-Administratiu 2 de Tarragona
obra,subministrament,45421131-1,,CONTRACTE MENOR ENTRE 6.000 i 9.999 - “SUBMINISTRAMENT I INSTALACIÓ PASSADÍS DE FRED AL CENTRE DE PROCES DE DADES (CPD)\
subministrament,servei,44613700-7,,1.4.6. contracte menor entre 6.000 i 9.999 - col·locació de suports de subjecció als contenidors.
subministrament,servei,42995200-9,,1.4.6. Contracte menor de 10.000 o més - Compra d’una maquina pel servei de platge
subministrament,servei,42418900-8,,1.4.6. Contracte menor de 10.000 o més - Compra d'una desbrossadora de gir zero pel servei de jardineria
servei,obra,71351720-6,,Contracte menor d’obres pels treballs de consolidació i adequació de les restes arqueològiques del jaciment de Puig Pelós
